id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
841,Drug-Induced Thalassemia,D56.X,Hematology,"Drug-Induced Thalassemia (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
842,Moderate Acute Kidney Injury,N17.X,Nephrology,"Moderate Acute Kidney Injury (ICD-10: N17.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Uncommon
843,Post-Operative COPD,J44.X,Pulmonology,"Post-Operative COPD (ICD-10: J44.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
844,Primary Cervical Spondylosis Type 4,M47.8.X,Orthopedics,"Primary Cervical Spondylosis Type 4 (ICD-10: M47.8.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
845,Ischemic Stroke,I63,Neurology,"Ischemic Stroke (ICD-10: I63) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
846,Autoimmune Hepatitis C Type 2,B17.1.X,Hepatology,"Autoimmune Hepatitis C Type 2 (ICD-10: B17.1.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
847,Low Back Pain,M54.5,Orthopedics,"Low Back Pain (ICD-10: M54.5) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Common
848,Secondary Polycystic Ovarian Syndrome,E28.2.X,Gynecology,"Secondary Polycystic Ovarian Syndrome (ICD-10: E28.2.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
849,Chronic Lymphoma,C85.X,Ophthalmology,"Chronic Lymphoma (ICD-10: C85.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
850,Drug-Induced Acute Respiratory Distress Syndrome,J80.X,Critical Care,"Drug-Induced Acute Respiratory Distress Syndrome (ICD-10: J80.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Uncommon
851,Hypothyroidism,E03,Endocrinology,"Hypothyroidism (ICD-10: E03) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Rare
852,Drug-Induced Migraine,G43.X,Neurology,"Drug-Induced Migraine (ICD-10: G43.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Rare
853,Drug-Induced Lumbar Disc Herniation,M51.1.X,Orthopedics,"Drug-Induced Lumbar Disc Herniation (ICD-10: M51.1.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Very Common
854,Acute Deep Vein Thrombosis,I82.4.X,Vascular Surgery,"Acute Deep Vein Thrombosis (ICD-10: I82.4.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Uncommon
855,Severe Bronchiectasis,J47.X,Pulmonology,"Severe Bronchiectasis (ICD-10: J47.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Common
856,Mild Ischemic Heart Disease,I25.X,Cardiology,"Mild Ischemic Heart Disease (ICD-10: I25.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Uncommon
857,Post-Operative Herpes Zoster,B02.X,Infectious Disease,"Post-Operative Herpes Zoster (ICD-10: B02.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
858,Secondary Hypoparathyroidism,E20.X,Endocrinology,"Secondary Hypoparathyroidism (ICD-10: E20.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Very Common
859,Post-Operative Acne Vulgaris,L70.0.X,Dermatology,"Post-Operative Acne Vulgaris (ICD-10: L70.0.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Uncommon
860,Primary Respiratory Failure Type 4,J96.X,Critical Care,"Primary Respiratory Failure Type 4 (ICD-10: J96.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Uncommon
861,Acute Seborrheic Dermatitis Type 1,L21.X,Dermatology,"Acute Seborrheic Dermatitis Type 1 (ICD-10: L21.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Rare
862,Peripheral Arterial Disease,I73.9,Cardiology,"Peripheral Arterial Disease (ICD-10: I73.9) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Rare
863,Heart Failure,I50,Cardiology,"Heart Failure (ICD-10: I50) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
864,Early-Onset Urinary Tract Infection,N39.0.X,Urology,"Early-Onset Urinary Tract Infection (ICD-10: N39.0.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Rare
865,Severe Carpal Tunnel Syndrome,G56.0.X,Orthopedics,"Severe Carpal Tunnel Syndrome (ICD-10: G56.0.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Common
866,Type 1 Diabetes Mellitus,E10,Endocrinology,"Type 1 Diabetes Mellitus (ICD-10: E10) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
867,Post-Operative Leukemia,C91.X,Psychiatry,"Post-Operative Leukemia (ICD-10: C91.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
868,Breast Cancer,C50,Oncology,"Breast Cancer (ICD-10: C50) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Uncommon
869,Drug-Induced Iron Deficiency Anemia,D50.X,Hematology,"Drug-Induced Iron Deficiency Anemia (ICD-10: D50.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Uncommon
870,Ventricular Tachycardia,I47.2,Cardiology,"Ventricular Tachycardia (ICD-10: I47.2) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
871,Recurrent Sickle Cell Disease,D57.X,Hematology,"Recurrent Sickle Cell Disease (ICD-10: D57.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
872,Severe Conjunctivitis,H10.X,Ophthalmology,"Severe Conjunctivitis (ICD-10: H10.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Very Common
873,Autoimmune Cellulitis Type 1,L03.X,Dermatology,"Autoimmune Cellulitis Type 1 (ICD-10: L03.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
874,Chronic Acute Kidney Injury,N17.X,Nephrology,"Chronic Acute Kidney Injury (ICD-10: N17.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Very Common
875,Autoimmune Vitiligo,L80.X,Dermatology,"Autoimmune Vitiligo (ICD-10: L80.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
876,Acute Hearing Loss,H91.X,ENT,"Acute Hearing Loss (ICD-10: H91.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Common
877,Acute Age-Related Macular Degeneration,H35.3.X,Ophthalmology,"Acute Age-Related Macular Degeneration (ICD-10: H35.3.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Rare
878,Chronic Diabetes Insipidus Type 2,E23.2.X,Endocrinology,"Chronic Diabetes Insipidus Type 2 (ICD-10: E23.2.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Very Common
879,Chronic Sepsis,A41.9.X,Critical Care,"Chronic Sepsis (ICD-10: A41.9.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Common
880,Primary Placenta Previa,O44.X,Obstetrics,"Primary Placenta Previa (ICD-10: O44.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
881,Mild Gestational Diabetes Mellitus Type 1,O24.4.X,Obstetrics,"Mild Gestational Diabetes Mellitus Type 1 (ICD-10: O24.4.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Rare
882,Chronic Pleural Effusion,J90.X,Pulmonology,"Chronic Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Uncommon
883,Mild Addison's Disease Type 3,E27.1.X,Endocrinology,"Mild Addison's Disease Type 3 (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Common
884,Autoimmune Low Back Pain,M54.5.X,Orthopedics,"Autoimmune Low Back Pain (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Uncommon
