id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
832,Lisinopril,Lisinopril,Antidepressant,Alkem Labs,Tablet,10mg,Lisinopril 10mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 10mg of active ingredient.,ACE Inhibitor,No,Store away from light
833,Amoxicillin-Clavulanate Dispersible,Amoxicillin-Clavulanate Dispersible,Immunosuppressant,Dr. Reddy's,Tablet,100mg,Amoxicillin-Clavulanate Dispersible 100mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 100mg of active ingredient.,Antibiotic,No,Store away from light
834,Clopidogrel,Clopidogrel,Ophthalmic,Pfizer India,Tablet,75mg,Clopidogrel 75mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 75mg of active ingredient.,Antiplatelet,Yes,Store below 25°C
835,Atenolol,Atenolol,Vitamin/Supplement,Abbott India,Tablet,50mg,Atenolol 50mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 50mg of active ingredient.,Beta Blocker,Yes,Refrigerate 2-8°C
836,Zinc Sulfate IV,Zinc Sulfate IV,Ophthalmic,Sanofi India,Tablet,20mg,Zinc Sulfate IV 20mg Tablet is a mineral used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 20mg of active ingredient.,Mineral,Yes,Store away from light
837,Pioglitazone,Pioglitazone,Antidepressant,Himalaya,Tablet,15mg,Pioglitazone 15mg Tablet is a thiazolidinedione used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 15mg of active ingredient.,Thiazolidinedione,Yes,Store below 25°C
838,Ferrous Sulfate IV 837,Ferrous Sulfate IV,Antihypertensive,Dr. Reddy's,Tablet,50mg,Ferrous Sulfate IV 837 50mg Tablet is a iron supplement used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 50mg of active ingredient.,Iron Supplement,Yes,Store away from light
839,Voriconazole Junior,Voriconazole Junior,Immunosuppressant,Sun Pharma,Tablet,500mg,Voriconazole Junior 500mg Tablet is a antifungal used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 500mg of active ingredient.,Antifungal,No,Store below 25°C
840,Semaglutide XR,Semaglutide XR,Urological,Cipla,Injection,250mg,Semaglutide XR 250mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Cipla. Each injection contains 250mg of active ingredient.,GLP-1 Agonist,Yes,Store in dry place
841,Perindopril Dispersible,Perindopril Dispersible,Oncology,Abbott India,Tablet,1g,Perindopril Dispersible 1g Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 1g of active ingredient.,ACE Inhibitor,Yes,Store away from light
842,Theophylline Plus,Theophylline,Analgesic,Elder Pharma,Tablet,100mg,Theophylline Plus 100mg Tablet is a xanthine bronchodilator used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 100mg of active ingredient.,Xanthine Bronchodilator,Yes,Store away from light
843,Vitamin B12 SR,Vitamin B12 SR,Antiviral,Wockhardt,Injection,500mg,Vitamin B12 SR 500mg Injection is a vitamin used in the management of various conditions. Manufactured by Wockhardt. Each injection contains 500mg of active ingredient.,Vitamin,Yes,Refrigerate 2-8°C
844,Tenofovir,Tenofovir,Antiviral,Sun Pharma,Tablet,300mg,Tenofovir 300mg Tablet is a antiretroviral used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 300mg of active ingredient.,Antiretroviral,Yes,Store below 25°C
845,Azathioprine,Azathioprine,Vitamin/Supplement,Elder Pharma,Tablet,50mg,Azathioprine 50mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 50mg of active ingredient.,Immunosuppressant,Yes,Store in dry place
846,Venlafaxine XR 845,Venlafaxine XR,Antiepileptic,Johnson & Johnson,Capsule,50mg,Venlafaxine XR 845 50mg Capsule is a snri antidepressant used in the management of various conditions. Manufactured by Johnson & Johnson. Each capsule contains 50mg of active ingredient.,SNRI Antidepressant,Yes,Store below 25°C
847,Enalapril Forte,Enalapril Forte,Ophthalmic,GSK India,Tablet,25mg,Enalapril Forte 25mg Tablet is a ace inhibitor used in the management of various conditions. Manufactured by GSK India. Each tablet contains 25mg of active ingredient.,ACE Inhibitor,Yes,Store in dry place
848,Furosemide SR 847,Furosemide SR,Antipsychotic,Aristo Pharma,Tablet,500mg,Furosemide SR 847 500mg Tablet is a loop diuretic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 500mg of active ingredient.,Loop Diuretic,Yes,Store away from light
849,Norepinephrine,Norepinephrine,Antiepileptic,Max Healthcare Pharma,Injection,4mg/4ml,Norepinephrine 4mg/4ml Injection is a vasopressor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 4mg/4ml of active ingredient.,Vasopressor,No,Refrigerate 2-8°C
850,Efavirenz Extended Release,Efavirenz,Antibiotic,Aristo Pharma,Tablet,20mg,Efavirenz Extended Release 20mg Tablet is a antiretroviral used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 20mg of active ingredient.,Antiretroviral,Yes,Refrigerate 2-8°C
851,Acarbose Plus,Acarbose,Oncology,Mankind Pharma,Tablet,20mg,Acarbose Plus 20mg Tablet is a alpha-glucosidase inhibitor used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 20mg of active ingredient.,Alpha-Glucosidase Inhibitor,Yes,Store below 25°C
852,Tamsulosin Dispersible,Tamsulosin Dispersible,Oncology,GSK India,Capsule,100mg,Tamsulosin Dispersible 100mg Capsule is a alpha blocker used in the management of various conditions. Manufactured by GSK India. Each capsule contains 100mg of active ingredient.,Alpha Blocker,Yes,Store away from light
853,Levodopa-Carbidopa XR,Levodopa-Carbidopa XR,Ophthalmic,Dr. Reddy's,Tablet,500mg,Levodopa-Carbidopa XR 500mg Tablet is a anti-parkinson used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 500mg of active ingredient.,Anti-Parkinson,Yes,Refrigerate 2-8°C
854,Amitriptyline Plus,Amitriptyline,Antibiotic,Abbott India,Tablet,10mg,Amitriptyline Plus 10mg Tablet is a tca antidepressant used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 10mg of active ingredient.,TCA Antidepressant,No,Store below 25°C
855,Sacubitril-Valsartan IV 854,Sacubitril-Valsartan IV,Hormonal,Dabur Pharma,Tablet,10mg,Sacubitril-Valsartan IV 854 10mg Tablet is a arni used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,ARNi,No,Store away from light
856,Olanzapine Sustained Release 855,Olanzapine,Antihypertensive,Glenmark,Tablet,10mg,Olanzapine Sustained Release 855 10mg Tablet is a antipsychotic used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 10mg of active ingredient.,Antipsychotic,Yes,Store away from light
857,Propylthiouracil XR,Propylthiouracil XR,Antimalarial,Aristo Pharma,Tablet,250mg,Propylthiouracil XR 250mg Tablet is a antithyroid used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 250mg of active ingredient.,Antithyroid,Yes,Store below 25°C
858,Ondansetron Extended Release 857,Ondansetron,Antibiotic,IPCA Labs,Tablet,50mg,Ondansetron Extended Release 857 50mg Tablet is a antiemetic used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 50mg of active ingredient.,Antiemetic,Yes,Store below 25°C
859,Folic Acid SR,Folic Acid SR,Antidiabetic,Glenmark,Tablet,20mg,Folic Acid SR 20mg Tablet is a vitamin used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 20mg of active ingredient.,Vitamin,No,Store away from light
860,Metoclopramide Sustained Release,Metoclopramide,Vitamin/Supplement,Johnson & Johnson,Tablet,25mg,Metoclopramide Sustained Release 25mg Tablet is a antiemetic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 25mg of active ingredient.,Antiemetic,No,Refrigerate 2-8°C
861,Fluoxetine Extended Release,Fluoxetine,Antibiotic,Dr. Reddy's,Capsule,1g,Fluoxetine Extended Release 1g Capsule is a ssri antidepressant used in the management of various conditions. Manufactured by Dr. Reddy's. Each capsule contains 1g of active ingredient.,SSRI Antidepressant,No,Store away from light
862,Rivaroxaban Forte 861,Rivaroxaban Forte,Analgesic,GSK India,Tablet,250mg,Rivaroxaban Forte 861 250mg Tablet is a noac used in the management of various conditions. Manufactured by GSK India. Each tablet contains 250mg of active ingredient.,NOAC,Yes,Store below 25°C
863,Trastuzumab Dispersible,Trastuzumab Dispersible,Oncology,Zydus Cadila,Injection,100mg,Trastuzumab Dispersible 100mg Injection is a her2 inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each injection contains 100mg of active ingredient.,HER2 Inhibitor,No,Store below 25°C
864,Naproxen Sustained Release,Naproxen,Ophthalmic,Pfizer India,Tablet,250mg,Naproxen Sustained Release 250mg Tablet is a nsaid used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 250mg of active ingredient.,NSAID,Yes,Store in dry place
865,Bisoprolol Plus,Bisoprolol,Antimalarial,Lupin,Tablet,250mg,Bisoprolol Plus 250mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Lupin. Each tablet contains 250mg of active ingredient.,Beta Blocker,No,Store below 25°C
866,Iron Sucrose Forte,Iron Sucrose Forte,Antidiabetic,Lupin,Injection,20mg,Iron Sucrose Forte 20mg Injection is a iron supplement used in the management of various conditions. Manufactured by Lupin. Each injection contains 20mg of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
867,Ranitidine SR,Ranitidine SR,Proton Pump Inhibitor,Dr. Reddy's,Tablet,1g,Ranitidine SR 1g Tablet is a h2 blocker used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 1g of active ingredient.,H2 Blocker,Yes,Store in dry place
868,Salbutamol Forte,Salbutamol Forte,Urological,Dabur Pharma,Inhaler,25mg,Salbutamol Forte 25mg Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Dabur Pharma. Each inhaler contains 25mg of active ingredient.,Bronchodilator,Yes,Store in dry place
869,Ranitidine Junior,Ranitidine Junior,Urological,Lupin,Tablet,20mg,Ranitidine Junior 20mg Tablet is a h2 blocker used in the management of various conditions. Manufactured by Lupin. Each tablet contains 20mg of active ingredient.,H2 Blocker,No,Store in dry place
870,Latanoprost Eye Drops Junior,Latanoprost Eye Drops Junior,Antibiotic,Novartis India,Eye Drops,50mg,Latanoprost Eye Drops Junior 50mg Eye Drops is a prostaglandin analogue used in the management of various conditions. Manufactured by Novartis India. Each eye drops contains 50mg of active ingredient.,Prostaglandin Analogue,No,Store in dry place
871,Iron Sucrose,Iron Sucrose,Antidiabetic,Dr. Reddy's,Injection,200mg/10ml,Iron Sucrose 200mg/10ml Injection is a iron supplement used in the management of various conditions. Manufactured by Dr. Reddy's. Each injection contains 200mg/10ml of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
872,Risperidone Sustained Release,Risperidone,Antifungal,Max Healthcare Pharma,Tablet,20mg,Risperidone Sustained Release 20mg Tablet is a antipsychotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 20mg of active ingredient.,Antipsychotic,No,Store in dry place
873,Omega-3 Fatty Acids XR 872,Omega-3 Fatty Acids XR,Anticoagulant,Aristo Pharma,Capsule,25mg,Omega-3 Fatty Acids XR 872 25mg Capsule is a supplement used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 25mg of active ingredient.,Supplement,Yes,Refrigerate 2-8°C
874,Warfarin Sustained Release,Warfarin,Antibiotic,Elder Pharma,Tablet,25mg,Warfarin Sustained Release 25mg Tablet is a anticoagulant used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 25mg of active ingredient.,Anticoagulant,No,Store below 25°C
875,Ferrous Sulfate IV 874,Ferrous Sulfate IV,Dermatological,GSK India,Tablet,100mg,Ferrous Sulfate IV 874 100mg Tablet is a iron supplement used in the management of various conditions. Manufactured by GSK India. Each tablet contains 100mg of active ingredient.,Iron Supplement,Yes,Refrigerate 2-8°C
876,Dextromethorphan Junior 875,Dextromethorphan Junior,Immunosuppressant,Sun Pharma,Syrup,50mg,Dextromethorphan Junior 875 50mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Sun Pharma. Each syrup contains 50mg of active ingredient.,Cough Suppressant,Yes,Store below 25°C
877,Vitamin C Extended Release,Vitamin C,Anticoagulant,Sun Pharma,Tablet,100mg,Vitamin C Extended Release 100mg Tablet is a vitamin used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,Vitamin,Yes,Store in dry place
878,Mebendazole Plus 877,Mebendazole,Oncology,Wockhardt,Tablet,100mg,Mebendazole Plus 877 100mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 100mg of active ingredient.,Anthelmintic,Yes,Refrigerate 2-8°C
879,Clarithromycin,Clarithromycin,Statin,Novartis India,Tablet,500mg,Clarithromycin 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store away from light
880,Itraconazole,Itraconazole,Bronchodilator,Wockhardt,Capsule,100mg,Itraconazole 100mg Capsule is a antifungal used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 100mg of active ingredient.,Antifungal,No,Store below 25°C
881,Nitroglycerine Forte,Nitroglycerine Forte,Anticoagulant,Sanofi India,Tablet,100mg,Nitroglycerine Forte 100mg Tablet is a nitrate used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 100mg of active ingredient.,Nitrate,Yes,Store below 25°C
882,Cyclosporine Plus,Cyclosporine,Antiepileptic,GSK India,Capsule,10mg,Cyclosporine Plus 10mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by GSK India. Each capsule contains 10mg of active ingredient.,Immunosuppressant,Yes,Store away from light
883,Oseltamivir Plus,Oseltamivir,Vitamin/Supplement,Sun Pharma,Capsule,20mg,Oseltamivir Plus 20mg Capsule is a antiviral used in the management of various conditions. Manufactured by Sun Pharma. Each capsule contains 20mg of active ingredient.,Antiviral,No,Refrigerate 2-8°C
